대륙,국적,성별,D-1(문화예술),D-2(유학),D-3(기술연수),D-4(일반연수),D-5(취재),D-6(종교),D-7(주재),D-8(기업투자),D-9(무역경영),D-10(구직),E-1(교수),E-2(회화강사),E-3(연구),E-4(기술지도),E-5(전문직업),E-6(예술흥행),E-7(특정활동),E-9(비전문취업),E-10(선원취업),F-1(방문동거),F-2(거주),F-3(동반),F-5(영주),F-6(결혼이민),G-1(기타),H-1(관광취업),H-2(방문취업),기타(other)
유럽주,노르웨이,여성,,46,,36,,,,1,1,,,,,,,,2,,,1,3,13,2,5,1,,,8
유럽주,스위스,남성,,33,,3,,,3,20,,1,5,,,,5,2,13,,,3,1,6,10,35,,,,10
유럽주,스위스,여성,1,33,,6,,2,1,2,,1,,,,,,,1,,,2,3,23,4,6,,,,8
유럽주,덴마크,남성,,48,,4,,,,11,5,1,1,,1,2,1,1,9,,,2,,9,5,20,,7,,11
유럽주,덴마크,여성,,45,,5,,3,,,,2,,,,,,1,1,,,,1,14,,3,,8,,9
유럽주,벨로루시,남성,,11,,1,,,,2,,,,,9,,,7,5,,,6,3,7,9,6,,,,8
유럽주,벨로루시,여성,,35,,9,,,,,,2,1,2,1,,,16,3,,,13,7,13,10,30,1,,,8
유럽주,그리스,남성,,1,,,,2,1,7,79,,6,,3,2,3,,14,,,,1,13,3,12,1,,,11
유럽주,그리스,여성,,4,,6,,1,,1,2,,,,1,,,,,,,,,21,,5,,,,4
유럽주,오스트리아,남성,,23,,1,,2,,9,,,5,1,2,23,10,,6,,,,4,1,9,10,,3,,14
유럽주,오스트리아,여성,,27,,4,,2,,,,,1,,,1,,1,3,,,,4,7,2,8,,7,,9
유럽주,아제르바이잔,남성,,49,,2,,,2,1,,3,1,,1,,,,6,,,6,14,6,,2,5,,,16
유럽주,아제르바이잔,여성,1,22,,5,,,,,,5,,,2,,,,2,,,5,12,7,1,2,1,,,10
유럽주,루마니아,남성,,7,,,,,2,3,23,1,3,,1,,,1,5,,,2,1,3,6,6,,,,2
유럽주,루마니아,여성,,31,,9,,,,2,,,2,,,,,,9,,,5,3,11,10,37,,,,4
유럽주,핀란드,남성,,36,,2,,,1,12,3,1,1,,1,,1,,3,,,,,3,8,13,,,,
유럽주,핀란드,여성,,47,,6,,2,,,,3,,,,,,,2,,,,2,7,3,13,,,,2
유럽주,헝가리,남성,,9,,,,1,1,1,,,5,,1,,,2,8,,,,1,5,2,12,,3,,10
유럽주,헝가리,여성,,31,,7,,1,,1,,3,2,,,,,2,4,,,,1,4,4,23,,12,,12
유럽주,포르투갈,남성,,8,,1,,1,,7,11,,1,,1,,5,9,9,,,1,2,6,,13,,3,,2
